"COUNT(FINDINGID)","NUMERICFINDING"
3452,
1,998898
1,888898.1
1,98245.9
1,98177
1,98162
1,98151
1,98130
1,98126.01
1,98109
1,98108.1
2,98105
1,98100
1,81115
1,35522
1,18678.2
1,13090
1,11575.99
1,10198
1,10102
1,10001
1,9997.9
1,9937
1,9935
1,9934
1,9932
1,9917
1,9916
2,9906
1,9904
1,9903
1,9902
4,9901
1,9898.5
1,9898.3
2,9898.2
3,9898
1,9897.6
1,9894
1,9887
1,9884
1,9882
1,9878
1,9875
1,9871
1,9864
1,9860
3,9839
9,9838
9,9837
4,9836
17,9835
1,9834.01
13,9834
1,9832
3,9831
3,9830
1,9829.99
1,9818.1
3,9818
2,9816
2,9814
4,9809
4,9808
11,9807
21,9806
24,9805
2,9804.99
17,9804
22,9803
1,9802.99
36,9802
9,9801
1,9797.9
1,9797.3
1,9797.1
1,9797
1,9789
9,9739
12,9738
4,9737
9,9736
1,9734
1,9732
1,9731
1,9720
1,9719
1,9716
1,9715
17,9709
17,9708
6,9707
15,9706
14,9705
5,9704
1,9703.99
7,9703
4,9702
2,9701
1,9608
1,9598.5
1,9497.41
1,6803
1,6526.4
1,4100.8
1,3411
1,2688
1,1452
1,1410
1,1385
1,1202
1,1120
1,1032
1,1027.7
2,1016
1,1014.5
1,1013
1,1012
1,1009
1,1006
1,1005
1,1004
1,1003
1,1001.9
1,1001.1
3,1001
1,1000.6
2,1000
1,999.9
1,999.8
2,999.4
3,999.3
2,999.2
1,999.1
6,999
1,998.91
1,998.9
4,998.8
1,998.71
5,998.7
11,998.6
10,998.5
1,998.49
6,998.4
12,998.3
1,998.29
13,998.2
6,998.1
1,998.01
30,998
13,997.9
1,997.81
8,997.8
7,997.7
5,997.6
9,997.5
2,997.4
1,997.39
4,997.2
1,997.11
2,997.1
5,997
2,996.7
1,996.69
1,996.6
1,996.4
5,996
2,995
7,994
1,993.8
10,993
7,992
1,991.99
29,991
1,990.2
11,990
3,989.9
2,989.8
2,989.7
5,989.6
2,989.5
6,989.4
3,989.3
1,989.29
9,989.2
4,989.1
2,989.01
33,989
2,988.8
1,988.5
1,988.4
1,988.3
1,988.2
1,988.11
1,988.1
22,988
1,987.91
2,987.9
